REGIÃO,MUNICÍPIO,POPULAÇÃO,ELEITORADO,MULHERES,HOMENS,DOMICÍLIOS,DISTRITOS,ANIVERSÁRIO,TRANSFERÊNCIA,VALOR BOLSA FAMILIA,VALOR BPC,VALOR AUXÍLIO GÁS,VALOR SEGURO DESEMPREGO,BENEFICIADOS BOLSA FAMÍLIA,VALOR MÉDIO BOLSA FAMILIA,BENEFIADOS AUXÍLIO GÁS,BENEFICIADOS BPC,DEFICIENTES BPC,IDOSOS BPC,EQUIPES SAÚDE BUCAL,REALIZAÇÃO PRÉ NATAL SUS,EXAMES COLO DO UTERO,MAMOGRAFIAS,BENEFICIADOS FARMÁCIA POPULAR,BENEFICADOS PÉ-DE-MEIA,LEI PAULO GUSTAVO,VALOR PNATE,VALOR PNLD,EMPREGOS FORMAIS,NOVOS EMPREGOS NO MÊS,PLANO SAFRA,INVESTIMENTO PRONAF,MORADIAS MCMV OGU - Faixa 1 ESSES DADOS O IDEAL É A OUTRA PLANILHA QUE ENVOLVE TODAS AS ENTREGAS MCMV,LUZ PARA TODOS,PAC SELEÇÃO,PAC SELEÇÕES - EDUCAÇÃO CRECHE/ESCOLA DE EDUCAÇÃO INFANTIL,PAC SELEÇÕES - EDUCAÇÃO ESCOLA EM TEMPO INTEGRAL,PAC SELEÇÕES - ONIBUS ESCOLAR,PAC UBS,PAC SELEÇÕES - UNIDADE ODONTOLOGICA MOVEL,CENTRAL SAMU,PAC SELEÇÕES CAPS,PAC SELEÇÕES - SAMU,PAC SELEÇÕES - CIDADES SUSTENTÁVEIS ESGOTAMENTO SANITÁRIO,ABASTAECIMENTO DE ÁGUA URBANO,GESTÃO DE RESÍDUOS SÓLIDOS,PAC SELEÇÕES CEU CULTURA,PAC SELEÇÕES - ESPAÇO ESPORTIVO COMUNITÁRIO,POLICLINICA,MATERNIDADE COM CENTRO DE PARTO NORMAL,CENTRO COUNITÁRIO PELA VIDA ,COMPLEXO FERROVIÁRIO,URBANIZAÇÃO DE FAVELAS,PREVENÇÃO DE GRANDES DESASTRES,MOBILIDADE,REGULARIZAÇÃO FUNDIÁRIA,OFICINA ORTOPÉDICA
GRANDE DOURADOS,DEODÁPOLIS,14210,10359,50.06,49.94,6387,5,2025-05-13,17490000,2710000,2410000,28010,1610000,739,611.38,86,404,288,116,7,137,0,0,210,179,136640,0,182280,2240,285,24720000,5060000,1,0.0,3.0,,1.0,1.0,,,,,,1,,,,,,,,,,,,,
CAMPO GRANDE,DOIS IRMÃOS DO BURITI,11470,8471,47.14,52.86,5090,2,2025-11-13,14180000,6060000,1940000,147460,591830,1510,674.84,452,320,194,126,2,106,0,0,1010,285,134680,73440,185210,1390,19,33850000,863030,55,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
GRANDE DOURADOS,DOURADINA,5749,4919,50.38,49.62,2334,3,2025-05-12,8180000,1770000,812150,57200,362820,426,679.97,176,133,64,69,2,55,0,0,0,108,81870,26900,89720,525,25,5470000,1140000,50,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
GRANDE DOURADOS,DOURADOS,260640,159885,50.8,49.2,103076,9,2025-12-20,155780000,55410000,52930000,1400000,22130000,13600,675.56,4340,8690,4080,4610,46,3440,0,829,9510,2720,1930000,103380,2510000,65340,276,277250000,6320000,491,0.0,7.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,
CONESUL,ELDORADO,11633,8948,50.97,49.03,5059,2,2025-05-13,15480000,3170000,3170000,84140,1130000,803,662.43,259,523,318,205,3,117,0,0,220,184,139790,49420,168680,2520,68,39850000,1060000,7,0.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
GRANDE DOURADOS,FÁTIMA DO SUL,21388,16540,51.99,48.01,9398,2,2025-07-09,19770000,4100000,4900000,17280,2310000,1090,626.97,53,811,453,358,6,300,0,0,2640,254,202510,12040,245300,3420,11,8510000,2450000,39,0.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
NORTE,FIGUEIRÃO,3709,2721,47.64,52.36,1863,1,2025-09-29,9860000,1180000,590510,22750,233720,300,662.66,70,96,40,56,1,37,0,0,0,45,58540,17780,40200,613,8,53910000,2270000,40,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
GRANDE DOURADOS,GLÓRIA DE DOURADOS,10777,7948,50.77,49.23,4891,2,2025-05-02,11720000,2270000,1740000,38960,822900,594,642.67,120,286,162,124,0,110,0,0,1270,159,104900,19220,112400,1090,2,46610000,6210000,35,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
SUDOESTE,GUIA LOPES DA LAGUNA,10135,7790,49.7,50.30,4885,1,2025-03-19,9620000,4230000,3030000,73840,752580,1030,678.39,229,501,242,259,3,138,0,0,33,198,103720,15630,138800,1420,18,32880000,1450000,2,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
CONESUL,IGUATEMI,14017,10481,50.67,49.33,6366,1,2025-05-08,18490000,4190000,4600000,40890,853540,1090,638.7,126,764,492,272,4,225,0,0,125,206,178010,51910,195050,2750,47,62010000,2680000,7,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
