REGIÃO,MUNICÍPIO,POPULAÇÃO,ELEITORADO,MULHERES,HOMENS,DOMICÍLIOS,DISTRITOS,ANIVERSÁRIO,TRANSFERÊNCIA,VALOR BOLSA FAMILIA,VALOR BPC,VALOR AUXÍLIO GÁS,VALOR SEGURO DESEMPREGO,BENEFICIADOS BOLSA FAMÍLIA,VALOR MÉDIO BOLSA FAMILIA,BENEFIADOS AUXÍLIO GÁS,BENEFICIADOS BPC,DEFICIENTES BPC,IDOSOS BPC,EQUIPES SAÚDE BUCAL,REALIZAÇÃO PRÉ NATAL SUS,EXAMES COLO DO UTERO,MAMOGRAFIAS,BENEFICIADOS FARMÁCIA POPULAR,BENEFICADOS PÉ-DE-MEIA,LEI PAULO GUSTAVO,VALOR PNATE,VALOR PNLD,EMPREGOS FORMAIS,NOVOS EMPREGOS NO MÊS,PLANO SAFRA,INVESTIMENTO PRONAF,MORADIAS MCMV OGU - Faixa 1 ESSES DADOS O IDEAL É A OUTRA PLANILHA QUE ENVOLVE TODAS AS ENTREGAS MCMV,LUZ PARA TODOS,PAC SELEÇÃO,PAC SELEÇÕES - EDUCAÇÃO CRECHE/ESCOLA DE EDUCAÇÃO INFANTIL,PAC SELEÇÕES - EDUCAÇÃO ESCOLA EM TEMPO INTEGRAL,PAC SELEÇÕES - ONIBUS ESCOLAR,PAC UBS,PAC SELEÇÕES - UNIDADE ODONTOLOGICA MOVEL,CENTRAL SAMU,PAC SELEÇÕES CAPS,PAC SELEÇÕES - SAMU,PAC SELEÇÕES - CIDADES SUSTENTÁVEIS ESGOTAMENTO SANITÁRIO,ABASTAECIMENTO DE ÁGUA URBANO,GESTÃO DE RESÍDUOS SÓLIDOS,PAC SELEÇÕES CEU CULTURA,PAC SELEÇÕES - ESPAÇO ESPORTIVO COMUNITÁRIO,POLICLINICA,MATERNIDADE COM CENTRO DE PARTO NORMAL,CENTRO COUNITÁRIO PELA VIDA ,COMPLEXO FERROVIÁRIO,URBANIZAÇÃO DE FAVELAS,PREVENÇÃO DE GRANDES DESASTRES,MOBILIDADE,REGULARIZAÇÃO FUNDIÁRIA,OFICINA ORTOPÉDICA
BOLSÃO,SANTA RITA DO PARDO,7174,5462,48.46,51.54,4178,1,2025-12-18,10620000,1380000,783310,20820,776290,368,635.6,64,125,90,35,1,87,0,0,544,82,89500,60130,104160,2140,317,29550000,3320000,13,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
NORTE,SÃO GABRIEL DO OESTE,31694,22164,49.9,50.10,12330,3,2025-05-12,33000000,5280000,5570000,35950,2900000,1320,669.28,110,915,547,368,10,613,0,0,229,263,297460,44330,382260,10670,139,237530000,991330,298,0.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
BOLSÃO,SELVÍRIA,8593,7149,49.03,50.97,3834,1,2025-05-12,11860000,1510000,807620,16530,584060,383,653.18,52,133,81,52,2,71,0,0,444,121,80500,0,130820,2080,72,24730000,1230000,97,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
SUL FRONTEIRA,SETE QUEDAS,11301,7487,50.3,49.70,3907,1,2025-05-13,11560000,2540000,2880000,36170,301630,605,693.93,112,470,244,226,2,135,0,0,400,166,124490,8000,156770,986,35,26400000,269000,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CAMPO GRANDE,SIDROLÂNDIA,49374,33783,49.66,50.34,20027,3,2025-12-11,43096000,14094000,8049000,223880,4700000,3800,658.28,691,1410,735,676,13,611,0,0,2850,739,556280,222360,586580,13030,16,295530000,3094000,40,0.0,4.0,1.0,,,1.0,,,,,1,,,,1.0,,,,,,,,,
NORTE,SONORA,14822,11067,48.74,51.26,6790,1,2025-06-03,21930000,3850000,2250000,52160,2170000,960,665.32,160,371,210,161,3,237,0,0,283,261,222390,17290,188240,4300,43,60980000,982880,50,0.0,2.0,,,1.0,,,,,,1,,,,,,,,,,,,,
SUL FRONTEIRA,TACURU,11159,6860,48.19,51.81,3800,1,2025-05-13,14090000,6810000,1700000,246100,205670,1640,672.42,760,276,163,113,2,124,0,0,52,173,130890,113440,172290,763,63,42060000,2020000,46,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
LESTE,TAQUARUSSU,3730,3937,49.77,50.23,1889,1,2025-05-12,7870000,1400000,364330,6440,157520,338,691.14,20,61,48,13,0,32,0,0,0,51,30200,57450,13820,44200,392,12730000,674560,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CAMPO GRANDE,TERENOS,18139,13376,48.45,51.55,9007,1,2025-05-08,21660000,5210000,3070000,43068,1060000,1227,684.89,134,503,239,264,5,171,0,0,0,351,230500,118460,123360,3520,16,35940000,2750000,50,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
BOLSÃO,TRÊS LAGOAS,141435,84203,51.06,48.94,59627,5,2025-06-15,107410000,31160000,22030000,315230,18040000,7790,666.3,977,3620,1710,1900,24,2060,1430,259,4870,1880,1170000,12100,1440000,44770,168,52560000,523170,192,0.0,7.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,2.0,,,
GRANDE DOURADOS,VICENTINA,6476,5953,50.24,49.76,2992,3,2025-06-20,9100000,1990000,787870,48510,677940,503,655.64,150,129,94,35,2,57,0,0,887,95,76190,19420,71370,1340,31,8000000,1980000,4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
